dron.ownerId,dron.degree,dron.betweeness,dron.clustcoeff,dron.closeness,dron.eigenvalue,dron.pagerank
1001707,710,667.4468499,0.604855876,1.16E-05,0.017444367,0.001428773
1001726,432,146.431979,0.789448751,1.16E-05,0.013768727,0.00093738
1001728,324,205.5347901,0.794187562,1.16E-05,0.005551525,0.000551088
1001754,0,0,0,2.18E-06,1.46E-07,0.000262743
1001760,386,74.20518989,0.776608377,1.16E-05,0.010540341,0.000763521
1001762,0,0,0,2.18E-06,1.46E-07,0.000262743
1001777,516,421.1372075,0.669622659,1.16E-05,0.01111176,0.000854477
1001797,0,0,0,2.18E-06,1.46E-07,0.000262743
1001843,644,426.1186016,0.6480919,1.16E-05,0.019135416,0.001273625
1001861,752,386.0096633,0.616855615,1.16E-05,0.03301531,0.002153444
1001867,152,86.59467173,0.861403509,1.16E-05,0.002080645,0.000374094
1001872,988,187.7414578,0.467685813,1.16E-05,0.13581122,0.00767821
1001891,708,229.0701528,0.643300927,1.16E-05,0.054278061,0.003397284
1001893,534,154.0101922,0.685055335,1.16E-05,0.032974512,0.001901532
1001902,404,177.7454965,0.808039013,1.16E-05,0.006288107,0.000652795
1001906,444,239.3094281,0.794994089,1.16E-05,0.007133435,0.000764357
1001918,116,96.96512787,0.939503932,1.16E-05,0.001078104,0.000339315
1001923,616,613.6307874,0.660793604,1.16E-05,0.015180994,0.001107957
1001940,222,118.2054141,0.825389025,1.16E-05,0.002286673,0.000412612
1001942,42,4.532019804,0.857142857,1.15E-05,0.000405605,0.000290391
1001948,0,0,0,2.18E-06,1.46E-07,0.000262743
1001956,276,143.2072933,0.848407913,1.16E-05,0.003714846,0.000486771
1001964,134,118.4837687,0.935323383,1.16E-05,0.001215388,0.00032933
1001977,366,235.5513188,0.799135291,1.16E-05,0.005481654,0.000584034
1001983,250,171.7287204,0.824516129,1.16E-05,0.002829579,0.000417259
1002010,50,24.98923084,0.89,1.15E-05,0.000440855,0.000283185
1002017,936,552.2816046,0.499958644,1.16E-05,0.065933137,0.003718728
1002020,624,626.6285554,0.646468209,1.16E-05,0.01642041,0.001200422
1002032,614,460.4414335,0.662723669,1.16E-05,0.016722601,0.001277434
1002035,286,216.7370757,0.787648971,1.16E-05,0.003545403,0.000451303
1002058,182,126.3671158,0.911111111,1.16E-05,0.002068378,0.000371755
1002063,510,340.485176,0.737131388,1.16E-05,0.010084101,0.000839612
1002068,1002,85.21295109,0.463422846,1.15E-05,0.387578593,0.020761651
1002077,58,46.38185928,0.95320197,1.15E-05,0.00038808,0.000282953
1002093,608,262.2463093,0.682256384,1.16E-05,0.01903529,0.001324127
1002107,434,247.5971897,0.796468562,1.16E-05,0.007660805,0.00068552
1002126,0,0,0,2.18E-06,1.46E-07,0.000262743
1002151,594,568.5292094,0.653744654,1.16E-05,0.011805646,0.001080889
1002171,652,492.7133358,0.642621083,1.16E-05,0.016205344,0.001158601
1002175,0,0,0,2.18E-06,1.46E-07,0.000262743
1002181,0,0,0,2.18E-06,1.46E-07,0.000262743
1002185,546,290.2748602,0.723497091,1.16E-05,0.015008875,0.001068422
1002188,54,48.92305295,0.908831909,1.15E-05,0.000604961,0.000284476
1002211,0,0,0,2.18E-06,1.46E-07,0.000262743
1002214,396,222.7447359,0.802235554,1.16E-05,0.007324438,0.000635451
1002245,0,0,0,2.18E-06,1.46E-07,0.000262743
1002263,510,380.91852,0.705295662,1.16E-05,0.010745718,0.000862027
1002268,146,112.9055243,0.886225266,1.16E-05,0.001783255,0.000354549
1002320,260,224.7455216,0.757304711,1.16E-05,0.003723655,0.000493443
1002327,0,0,0,2.18E-06,1.46E-07,0.000262743
1002328,0,0,0,2.18E-06,1.46E-07,0.000262743
1002350,310,161.1360603,0.842480101,1.16E-05,0.00448846,0.000494382
1002359,0,0,0,2.18E-06,1.46E-07,0.000262743
1002370,614,325.2644268,0.671809707,1.16E-05,0.022803145,0.001465348
1002372,682,429.8312102,0.615894499,1.16E-05,0.026458457,0.001635711
1002403,596,115.6791803,0.687323687,1.16E-05,0.021014505,0.001362158
1002408,766,396.480266,0.590963433,1.16E-05,0.032315188,0.001923665
1002464,198,105.8891325,0.86745001,1.16E-05,0.002408109,0.000398169
1002471,868,300.0099917,0.532161492,1.16E-05,0.089769272,0.004895929
1002477,358,385.8432748,0.793170548,1.16E-05,0.00476984,0.000529148
1002507,294,219.3560228,0.808964682,1.16E-05,0.003523322,0.000495292
1002512,408,484.595242,0.749251425,1.16E-05,0.00664196,0.000622029
1002518,0,0,0,2.18E-06,1.46E-07,0.000262743
1002519,0,0,0,2.18E-06,1.46E-07,0.000262743
1002534,116,62.76662179,0.935874168,1.16E-05,0.001136981,0.000325633
1002543,462,477.3007353,0.736344815,1.16E-05,0.007177063,0.000669741
1002563,768,507.7374164,0.58284691,1.16E-05,0.026713848,0.001835489
1002565,166,107.0193855,0.890390832,1.16E-05,0.002256769,0.000374923
1002609,212,313.6592223,0.863791554,1.16E-05,0.002159531,0.000369722
1002612,752,472.7866527,0.603336898,1.16E-05,0.030335236,0.001808943
1002617,422,405.6714033,0.763394268,1.16E-05,0.006628702,0.00060817
1002621,862,239.4084913,0.532314197,1.16E-05,0.080344233,0.004424086
1002630,0,0,0,2.18E-06,1.46E-07,0.000262743
1002657,618,211.4517678,0.687232962,1.16E-05,0.018644061,0.001389378
1002658,404,167.9117386,0.805625339,1.16E-05,0.00797675,0.000709664
1002663,256,145.8758325,0.849040354,1.16E-05,0.004601174,0.000472279
1002669,288,270.5566732,0.79477467,1.16E-05,0.003411645,0.000491129
1002670,664,360.5415512,0.658244072,1.16E-05,0.020322533,0.001555311
1002679,570,351.8587825,0.689444085,1.16E-05,0.017792286,0.001152669
1002684,266,165.6110612,0.837434495,1.16E-05,0.00419146,0.00049774
1002702,492,340.8562552,0.740832919,1.16E-05,0.009952918,0.000822054
1002712,132,124.5533763,0.866200466,1.16E-05,0.002358394,0.000352622
1002737,226,146.4420096,0.827591656,1.16E-05,0.003948873,0.000464115
1002751,894,231.1509203,0.528079811,1.16E-05,0.144723103,0.00883937
1002806,0,0,0,2.18E-06,1.46E-07,0.000262743
1002820,834,486.4925183,0.55492354,1.16E-05,0.041016699,0.002492996
1002906,0,0,0,2.18E-06,1.46E-07,0.000262743
1002915,870,179.2233973,0.541831185,1.16E-05,0.07623154,0.004240642
1002951,1102,7.076518537,0.401973837,1.15E-05,1,0.066192966
1002956,0,0,0,2.18E-06,1.46E-07,0.000262743
1002959,0,0,0,2.18E-06,1.46E-07,0.000262743
1002974,188,110.8136656,0.848318463,1.16E-05,0.002686405,0.00041291
1002975,940,207.8443255,0.500318918,1.16E-05,0.105791072,0.006024402
1003007,120,88.60252958,0.86440678,1.16E-05,0.00164159,0.000333474
1003010,350,211.860843,0.808341544,1.16E-05,0.005378938,0.000579613
1003084,414,257.1509761,0.793417002,1.16E-05,0.00839838,0.000742326
1003092,730,711.4610555,0.601279542,1.16E-05,0.018660076,0.001459383
1003126,64,22.05449895,0.83266129,1.15E-05,0.000655032,0.000308025
1003139,280,340.4467234,0.816957862,1.16E-05,0.002971177,0.000438202
1003142,0,0,0,2.18E-06,1.46E-07,0.000262743
1003158,0,0,0,2.18E-06,1.46E-07,0.000262743
1003177,0,0,0,2.18E-06,1.46E-07,0.000262743
1003182,260,144.1771342,0.824686941,1.16E-05,0.002775681,0.000428061
1003205,384,0,0.708224258,1.15E-05,0.00988576,0.000858474
1003209,406,231.8443261,0.741208604,1.16E-05,0.010727075,0.00078861
1003213,486,296.7806783,0.726898616,1.16E-05,0.01200276,0.000892483
1003224,1062,100.726685,0.427392374,1.15E-05,0.3533959,0.020199269
1003237,682,232.2232489,0.642918751,1.16E-05,0.043472248,0.00243389
1003245,606,183.5752501,0.679831027,1.16E-05,0.022199373,0.001467296
1003259,146,68.58000672,0.829908676,1.16E-05,0.002467137,0.000382111
1003263,384,367.2523962,0.708224258,1.16E-05,0.00494288,0.000560609
1003284,868,176.5654463,0.535711231,1.16E-05,0.087617842,0.005276637
1003296,966,152.4348371,0.483872637,1.16E-05,0.156803945,0.009190389
1003298,660,480.945784,0.622451627,1.16E-05,0.023256107,0.001604645
1003299,0,0,0,2.18E-06,1.46E-07,0.000262743
1003300,0,0,0,2.18E-06,1.46E-07,0.000262743
1003310,936,256.2206378,0.500739815,1.16E-05,0.081770085,0.005147446
1003313,236,166.9283758,0.795740982,1.16E-05,0.005650684,0.000501461
1003315,138,84.77621073,0.869565217,1.16E-05,0.001406293,0.000334826
1003334,88,35.66804206,0.927061311,1.15E-05,0.000683205,0.000309165
1003335,398,14.72879411,0.70955789,1.16E-05,0.009473474,0.000842323
1003338,456,161.0174748,0.70828503,1.16E-05,0.012458569,0.000883249
1003344,0,0,0,2.18E-06,1.46E-07,0.000262743
1003360,966,205.5394748,0.483035861,1.16E-05,0.216867908,0.013001968
1003367,176,82.31163918,0.827586207,1.16E-05,0.003726568,0.000441331
1003384,0,0,0,2.18E-06,1.46E-07,0.000262743
1003390,230,149.9793831,0.851868802,1.16E-05,0.002490987,0.000427051
1003391,520,497.439564,0.725155925,1.16E-05,0.010451527,0.000849169
1003411,232,117.3844235,0.847676162,1.16E-05,0.003128434,0.000432226
1003413,1004,188.3834297,0.458666667,1.16E-05,0.157332077,0.008773219
1003476,0,0,0,2.18E-06,1.46E-07,0.000262743
1003495,218,181.31548,0.866123004,1.16E-05,0.00224664,0.000391978
1003498,64,49.63681685,0.941532258,1.16E-05,0.000507485,0.000286914
1003524,288,317.494352,0.816045066,1.16E-05,0.004613545,0.000478726
1003530,100,75.08541645,0.866122449,1.16E-05,0.001667951,0.000335141
1003544,462,413.1880655,0.721701487,1.16E-05,0.008518477,0.000762403
1003549,0,0,0,2.18E-06,1.46E-07,0.000262743
1003550,0,0,0,2.18E-06,1.46E-07,0.000262743
